,3,mile,access,station,timezone,4
column-options,ardp,,,,,reverse ardp
days,CHI,,,,,CHI
updown,,,,,,
CHI,,0,,,,
NPV,,28,,,,
MDT,,83,,,,
PCT,,104,,,,
GBB,,162,,,,
FMD,,220,,,,
LAP,,298,,,,
KCY,,437,,,,
LRC,,477,,,,
TOP,,503,,,,
NEW,,638,,,,
HUT,,671,,,,
DDG,,791,,,,
GCK,,841,,,,
LMR,,941,,,,
LAJ,,993,,,,
TRI,,1074,,,,
RAT,,1098,,,,
LSV,,1209,,,,
LMY,,1274,,,,
ABQ,,1341,,,,
GLP,,1514,,,,
WLO,,1641,,,,
FLG,,1699,,,,
KNG,,1873,,,,
NDL,,1940,,,,
BAR,,2109,,,,
VRV,,2146,,,,
SNB,,2193,,,,
RIV,,2203,,,,
FUL,,2239,,,,
LAX,,2265,,,,
